cl_node_id;lat;lon;zip_code
4039;33.89751233;-118.28758361;90247
3188;33.79423574;-118.27746558;90744
3233;33.79220293;-118.26059779;90744
3268;33.79043778;-118.24163022;90744
3279;33.78958866;-118.27497773;90744
3284;33.78941319;-118.24579905;90744
3294;33.78899598;-118.26004051;90744
3309;33.78827089;-118.250784;90744
4056;33.93194105;-118.26213807;90059
4076;33.93031584;-118.24625703;90059
4098;33.93340087;-118.23903582;90059
4100;33.93149126;-118.23904081;90059
4101;33.93109144;-118.23904185;90059
4109;33.93005565;-118.29152891;90044
4125;33.93010127;-118.26641426;90061
4153;33.9636514;-118.30464133;90047
4162;33.96366423;-118.29761876;90044
4171;33.9646828;-118.26076186;90001
3764;33.78358554;-118.22525072;90744
3772;33.78557085;-118.23073476;90744
3774;33.78601596;-118.22446502;90744
3792;33.79943357;-118.30405678;90710
3804;33.79853284;-118.27728888;90744
3807;33.80096809;-118.26460462;90745
3814;33.79777396;-118.29274093;90710
3833;33.79645681;-118.27227886;90744
3837;33.7964315;-118.27329134;90744
4882;34.00189547;-118.31132917;90062
4904;34.00002153;-118.32691309;90043
4926;34.02549712;-118.2915382;90007
4983;34.01970063;-118.32131422;90018
5018;34.01816009;-118.29307069;90037
5052;34.01461145;-118.30453646;90062
5064;34.01459037;-118.3170871;90008
5261;33.99499903;-118.32578209;90043
5272;33.98173909;-118.33855718;90302
5289;33.99526396;-118.29150394;90037
5296;34.02332716;-118.34124658;90016
5320;33.99776116;-118.32576836;90043
5333;34.02335543;-118.33945458;90016
5336;34.01042831;-118.33980539;90008
5337;34.00711782;-118.33736631;90008
5345;33.99778158;-118.29372804;90037
5072;34.01372305;-118.31324963;90062
5116;34.00883663;-118.3239165;90008
5122;34.00724119;-118.31821915;90008
5128;34.00598931;-118.33243231;90008
5129;34.00549332;-118.31132641;90062
5141;34.00442239;-118.3275068;90008
5181;34.00003568;-118.32249017;90043
5215;34.01734952;-118.30889776;90062
4293;33.94061535;-118.23586814;90002
4318;33.94392263;-118.23318725;90002
4347;33.92900094;-118.23032361;90059
4402;34.02592674;-118.36521119;90016
4405;34.02555237;-118.34286459;90016
4465;34.02149411;-118.34419638;90016
4470;34.02098928;-118.36917453;90016
4472;34.02029946;-118.37171823;90016
4492;34.01822963;-118.35914478;90008
4858;34.00368819;-118.29000154;90037
4870;34.00364477;-118.32933882;90043
5489;34.01570087;-118.25618078;90011
5494;34.01538866;-118.26776537;90011
5498;34.01507055;-118.24431816;90011
5510;34.01433003;-118.25411721;90011
5519;34.0136004;-118.26525799;90011
5521;34.0136404;-118.2803016;90037
5534;34.0121595;-118.24325671;90011
5976;34.00568853;-118.27160873;90011
5982;34.0083807;-118.25649354;90011
5984;34.00840049;-118.25431676;90011
5995;34.01206635;-118.27400641;90011
6016;34.01519997;-118.24322873;90011
5549;34.01008203;-118.25716491;90011
5551;34.01015992;-118.26201659;90011
5555;34.01012114;-118.28272836;90037
5559;34.00922386;-118.28272479;90037
5571;34.00817943;-118.26524231;90011
5594;34.00657727;-118.26961592;90011
5595;34.00656912;-118.27087427;90011
5599;34.00574935;-118.2462585;90011
5610;34.00483429;-118.25212429;90011
5630;34.0038613;-118.26870546;90011
5632;34.00384205;-118.27172291;90011
5662;34.00159677;-118.26522183;90011
5685;34.00055809;-118.25211802;90011
5708;33.99866561;-118.26083925;90011
5709;33.99846612;-118.25645962;90011
5722;34.02672447;-118.26747264;90011
5733;34.02621955;-118.25038798;90021
5743;34.02473122;-118.27513818;90007
5788;34.01841999;-118.24152679;90058
5809;34.01645185;-118.27402124;90007
5822;34.01406328;-118.28155825;90037
5824;34.01404535;-118.27401252;90011
5856;34.01204298;-118.24889054;90011
5859;34.01115231;-118.267947;90011
5870;34.01020389;-118.26855192;90011
5892;34.00739114;-118.28271749;90037
5898;34.00924759;-118.25379265;90011
5355;33.99642118;-118.31013926;90062
5359;34.00737394;-118.34123205;90008
5360;34.00586417;-118.33923291;90008
5381;34.0249611;-118.25669573;90011
5399;34.02328513;-118.2423568;90021
5404;34.0225978;-118.2606501;90011
5416;34.02326581;-118.26968085;90011
5426;34.02105371;-118.27396308;90007
6317;33.99425973;-118.26082582;90011
6319;33.99422106;-118.27394492;90037
6328;33.9958384;-118.25645147;90011
6345;33.99467316;-118.27830672;90037
6361;34.00551113;-118.28717063;90037
6364;34.00165515;-118.28963683;90037
6380;33.99570311;-118.28711978;90037
6381;33.99530872;-118.28711812;90037
6404;33.99703948;-118.24485327;90011
6408;33.9966319;-118.24776144;90011
6426;33.99662995;-118.2410977;90058
6443;34.061027;-118.3623751;90036
6467;34.05895769;-118.34957562;90036
6486;34.0574609;-118.35711172;90019
6488;34.06054288;-118.35337531;90036
6696;34.04486768;-118.3865921;90034
6744;34.03914346;-118.36683735;90016
6765;34.03692693;-118.34354486;90016
6509;34.05637256;-118.37030986;90035
6519;34.05588223;-118.36600841;90035
6524;34.05708679;-118.39179575;90035
56009;33.72336908;-118.29733747;0
6526;34.05519129;-118.34413444;90019
6529;34.05508319;-118.37616549;90035
6540;34.05525898;-118.39100105;90035
6555;34.05458278;-118.34656057;90019
6556;34.0534597;-118.34710505;90019
6569;34.05426699;-118.38841639;90035
6573;34.05243955;-118.39099009;90035
6597;34.05228424;-118.36028217;90019
6615;34.05163224;-118.35740695;90019
6616;34.04921271;-118.35832037;90019
6632;34.04814875;-118.3915313;90035
6633;34.04823278;-118.35268013;90019
6638;34.05030885;-118.34951695;90019
6652;34.04952881;-118.38935596;90035
6681;34.04453175;-118.37681943;90035
6033;34.01726045;-118.27497546;90007
